vial,block,treat,pop,eeF_mod,eeM_mod,WTF_mod,WTM_mod,totF_mod,totM_mod,totee_mod,totWT_mod,total_mod
B1:62,1,2,5,11.68852459,12.65384615,11.5,11.68656716,11.58394161,12.1092437,12.13274336,11.58741259,12.65384615
B1:63,1,2,5,13.07228916,13.02247191,12.20512821,12.10679612,12.50627615,12.53125,13.04651163,12.16602317,13.02247191
B1:64,1,2,5,12.35714286,12.01639344,11.28169014,11.14285714,11.75590551,11.54961832,12.17948718,11.21276596,12.01639344
B1:65,1,2,5,11.94545455,12.35483871,12.14754098,12.25714286,12.05172414,12.3030303,12.09302326,12.1875,12.35483871
B1:66,1,2,5,12.66666667,13,11.8,11.30769231,12.04761905,12.12,12.88888889,11.57142857,13
B1:67,1,2,5,12.25,12.44680851,11.62745098,11.8,11.86746988,12.25373134,12.36708861,11.67605634,12.44680851
B1:68,1,2,5,12.53488372,12.51612903,11.75471698,12.19480519,12.10416667,12.3381295,12.52380952,12.01538462,12.51612903
B1:69,1,2,1,13,12,12.21875,12.60869565,12.48453608,12.38888889,12.55932203,12.38181818,12
B1:70,1,2,5,12.31111111,12.51515152,11.67532468,11.86440678,12.01796407,12.16129032,12.41798942,11.78974359,12.51515152
B1:71,1,1,6,12.125,13.36363636,11.89655172,12.30769231,11.97777778,12.62162162,12.62962963,12.09090909,13.36363636
B1:72,1,1,6,12.13513514,11.74358974,12.45054945,12.13978495,12.359375,11.95906433,11.86956522,12.29347826,11.74358974
B1:73,1,1,6,11.91666667,12.38461538,9.705882353,11.73684211,11,12.06493506,12.20634921,11.10909091,12.38461538
B1:74,1,1,6,10.42857143,11.64516129,11.2,11.47887324,11,11.52941176,11.26666667,11.37837838,11.64516129
B1:75,1,1,6,11.84848485,12.17948718,10.33333333,11.32432432,11.16666667,11.76315789,12.02777778,10.90625,12.17948718
B1:76,1,1,6,11.10526316,12.47619048,10.86666667,11.59259259,11.05555556,12.13043478,11.68686869,11.33333333,12.47619048
B1:77,1,1,6,11.76923077,11.88888889,11.5,12.91666667,11.65671642,12.47619048,11.80701754,12.15384615,11.88888889
B1:78,1,1,6,12.55555556,12.925,12.97701149,12.94805195,12.83333333,12.93630573,12.792,12.96341463,12.925
B1:79,1,1,7,11.32142857,11.98148148,11.71428571,12.10638298,11.51785714,12.01935484,11.75609756,11.89320388,11.98148148
B1:80,1,1,7,12.4,12.54716981,12.5942029,12.56756757,12.50387597,12.55905512,12.46902655,12.58041958,12.54716981
B1:81,1,1,7,12.67213115,12.94871795,12.96116505,13.17142857,12.85365854,13.05405405,12.82733813,13.04624277,12.94871795
B1:82,1,1,7,12.49659864,12.68115942,12.52112676,12.48387097,12.50458716,12.58778626,12.55555556,12.5037594,12.68115942
B1:83,1,1,7,12.10769231,12.90243902,12.34513274,12.92156863,12.25842697,12.91304348,12.41509434,12.52439024,12.90243902
B1:84,1,1,7,12.05263158,12.41463415,12.83050847,12.44186047,12.5257732,12.42857143,12.24050633,12.66666667,12.41463415
B1:85,1,1,7,12.88732394,12.70833333,12.15942029,12.82758621,12.52857143,12.77358491,12.81512605,12.46456693,12.70833333
