"","X1","block","treat","pop","eeF_mod","eeM_mod","WTF_mod","WTM_mod","totF_mod","totM_mod","totee_mod","totWT_mod","total_mod"
"35",35,1,2,3,11.75,13,11.865671641791,11.9302325581395,11.8351648351648,12.452380952381,12.5384615384615,11.8909090909091,13
"36",36,1,2,1,10.7894736842105,10.8518518518519,10.3548387096774,11.8985507246377,10.5942028985507,11.6041666666667,10.8153846153846,11.42,10.8518518518519
"37",37,1,2,3,12.25,13.7027027027027,12.1333333333333,12.6428571428571,12.1639344262295,13.0645161290323,13.0289855072464,12.3287671232877,13.7027027027027
"38",38,1,2,3,13,12.64,11.7213114754098,12.3953488372093,12.25,12.4852941176471,12.8064516129032,12.1156462585034,12.64
"39",39,1,2,3,12.5454545454545,12.9518072289157,12.2048192771084,12.5324675324675,12.3228346456693,12.75,12.8110236220472,12.3625,12.9518072289157
"40",40,1,2,3,13.2641509433962,12.6296296296296,12.1914893617021,12.4181818181818,12.4845360824742,12.4878048780488,13.05,12.2551020408163,12.6296296296296
"41",41,1,2,3,12.3333333333333,12.1063829787234,11.9803921568627,12.5483870967742,12.1666666666667,12.3577981651376,12.2307692307692,12.2920353982301,12.1063829787234
"42",42,1,2,3,11.9545454545455,12.2380952380952,11.75,11.7462686567164,11.8478260869565,11.8636363636364,12.0461538461538,11.7478260869565,12.2380952380952
"43",43,1,2,3,12.8,13.35,11.9203539823009,12.3644859813084,12.2254335260116,12.7860962566845,13.1142857142857,12.1363636363636,13.35
"44",44,1,2,4,11.7857142857143,11.5806451612903,11.2631578947368,11.3846153846154,11.5744680851064,11.4912280701754,11.6779661016949,11.3333333333333,11.5806451612903
"45",45,1,2,4,11.8115942028985,11.96,11.4897959183673,11.4,11.6779661016949,11.5866666666667,11.8510638297872,11.4444444444444,11.96
"46",46,1,2,4,11.3333333333333,12.5853658536585,11.0555555555556,12.1379310344828,11.2142857142857,12.4,12.1230769230769,11.7234042553191,12.5853658536585
"47",47,1,2,1,11.9473684210526,11.8,11.8,10.6363636363636,11.9302325581395,11,11.9302325581395,11,11.8
"48",48,1,2,4,12.5,11.5777777777778,10.6363636363636,10.9130434782609,11.68,11.3529411764706,11.9315068493151,10.7777777777778,11.5777777777778
"49",49,1,2,4,11.5945945945946,12.3207547169811,11.16,12.3,11.3448275862069,12.3097345132743,12.0222222222222,11.7818181818182,12.3207547169811
"50",50,1,2,4,12.1914893617021,12.0588235294118,11.6486486486486,11.0454545454545,11.8595041322314,11.5894736842105,12.1224489795918,11.4237288135593,12.0588235294118
"51",51,1,2,4,12.0819672131148,11.8,11.16,11.4878048780488,11.6666666666667,11.5714285714286,12.0263157894737,11.3076923076923,11.8
"52",52,1,2,4,11.7142857142857,12.5217391304348,11.4905660377358,12.0793650793651,11.5894736842105,12.2660550458716,12.1363636363636,11.8103448275862,12.5217391304348
"53",53,1,2,4,11.3076923076923,12.2727272727273,10.6842105263158,11,10.9375,11.5833333333333,11.9142857142857,10.8666666666667,12.2727272727273
"54",54,1,2,4,12.5384615384615,12.9666666666667,12.2307692307692,12.0105263157895,12.3333333333333,12.3806451612903,12.744,12.1377777777778,12.9666666666667
"55",55,1,2,4,12.6666666666667,12.0357142857143,11.8307692307692,11.1379310344828,12.0120481927711,11.7294117647059,12.1891891891892,11.6170212765957,12.0357142857143
"56",56,1,2,4,11.8695652173913,12.5172413793103,11.8099173553719,11.4848484848485,11.8315789473684,11.9677419354839,12.1653543307087,11.6951871657754,12.5172413793103
"57",57,1,2,5,12.1538461538462,12.1594202898551,11.2941176470588,11.4444444444444,11.6666666666667,11.8455284552846,12.1570247933884,11.3606557377049,12.1594202898551
"58",58,1,2,1,11.8,12.6666666666667,12.6666666666667,12.1111111111111,12.4117647058824,12.3333333333333,12.2727272727273,12.4285714285714,12.6666666666667
"59",59,1,2,5,12.1929824561404,12.3333333333333,11.3768115942029,11.4776119402985,11.7460317460317,11.7924528301887,12.25,11.4264705882353,12.3333333333333
"60",60,1,2,5,11.75,12.1363636363636,11.1777777777778,11.2040816326531,11.3768115942029,11.6451612903226,12,11.1914893617021,12.1363636363636
"61",61,1,2,5,12.125,12.125,12.125,12.625,12.125,12.375,12.125,12.4583333333333,12.125
"62",62,1,2,5,11.6885245901639,12.6538461538462,11.5,11.6865671641791,11.5839416058394,12.109243697479,12.1327433628319,11.5874125874126,12.6538461538462
"63",63,1,2,5,13.0722891566265,13.0224719101124,12.2051282051282,12.1067961165049,12.5062761506276,12.53125,13.046511627907,12.1660231660232,13.0224719101124
"64",64,1,2,5,12.3571428571429,12.016393442623,11.2816901408451,11.1428571428571,11.755905511811,11.5496183206107,12.1794871794872,11.2127659574468,12.016393442623
"65",65,1,2,5,11.9454545454545,12.3548387096774,12.1475409836066,12.2571428571429,12.051724137931,12.3030303030303,12.093023255814,12.1875,12.3548387096774
"66",66,1,2,5,12.6666666666667,13,11.8,11.3076923076923,12.047619047619,12.12,12.8888888888889,11.5714285714286,13
"67",67,1,2,5,12.25,12.4468085106383,11.6274509803922,11.8,11.8674698795181,12.2537313432836,12.3670886075949,11.6760563380282,12.4468085106383
"68",68,1,2,5,12.5348837209302,12.5161290322581,11.7547169811321,12.1948051948052,12.1041666666667,12.3381294964029,12.5238095238095,12.0153846153846,12.5161290322581
"69",69,1,2,1,13,12,12.21875,12.6086956521739,12.4845360824742,12.3888888888889,12.5593220338983,12.3818181818182,12
